id,created_at,operator_name,station_id,raw_scan,part_id,serial_number,batch_comment,idempotency_key,dashboard_notes
6540,2025-12-17 12:00:00+00,Faye,,,100752EL,752EL12420,,,
6541,2025-12-17 12:00:00+00,Faye,,,100752EL,752EL12421,,,
6542,2025-12-17 12:00:00+00,Debbie,,,100752EW,752EW24831,,,
6543,2025-12-17 12:00:00+00,Faye,,,100752WKW,752WKN10484,,,
11833,2025-12-18 18:17:15.067556+00,Faye,OP4,+B446100756E21/$+756E210492E,100756E2,756E210492,,,
9798,2025-11-20 20:55:53+00,Laura,MAIN,,100756EL,756EL10120,,,
7001,2025-12-17 21:03:02+00,Faye,OP4,+B446100756EW1/$+756EW15408X,100756EW,756EW15408,,,
6547,2025-12-17 20:18:14+00,Faye,OP4,+B446100756EW1/$+756EW15406V,100756EW,756EW15406,,,
6544,2025-12-17 12:00:00+00,Maria G,,,100756EW,756EW15254,,,
6545,2025-12-17 12:00:00+00,Maria G,,,100756EW,756EW15255,,,
6546,2025-12-17 12:00:00+00,Maria G,,,100756EW,756EW15256,,,
6548,2025-12-17 12:00:00+00,Maria G,,,100756EW,756EW15409,,,
6549,2025-12-17 12:00:00+00,Maria G,,,100756EW,756EW15410,,,
6550,2025-12-17 12:00:00+00,Maria G,,,100756EW,756EW15411,,,
6551,2025-12-17 12:00:00+00,Maria G,,,100756EW,756EW15412,,,
11729,2025-12-11 20:45:09+00,Faye,OP4,,100756EW,756EW15405,,,
11718,2025-12-11 19:59:28+00,Faye,OP4,,100756EW,756EW15404,,,
11701,2025-12-11 19:10:46+00,Faye,OP4,,100756EW,756EW15402,,,
10864,2025-12-04 15:29:31+00,Faye,OP4,,100756EW,756EW15407,,,
10804,2025-12-04 11:52:40+00,Faye,OP4,,100756EW,756EW15401,,,
10546,2025-12-02 18:08:56+00,Laura,MAIN,,100756EW,756EW15400,SO,,
10537,2025-12-02 17:41:27+00,Laura,MAIN,,100756EW,756EW15399,,,
10514,2025-12-02 16:00:58+00,Laura,MAIN,,100756EW,756EW15398,,,
10504,2025-12-02 15:32:06+00,Laura,MAIN,,100756EW,756EW15397,SO,,
10477,2025-12-02 14:29:43+00,Laura,MAIN,,100756EW,756EW15396,,,
10464,2025-12-02 13:59:47+00,Laura,MAIN,,100756EW,756EW15395,SO,,
134,2025-12-17 21:40:55.049917+00,Faye,OP4,+B446100756NW1/$+756NW15258B,100756NW,756NW15258,,,
124,2025-12-17 21:09:41.43687+00,Faye,OP4,+B446100756NW1/$+756NW15257A,100756NW,756NW15257,,,
6806,2025-12-16 06:43:51+00,Faye,OP4,+B446100756NW1/$+756NW152503,100756NW,756NW15250,,,
11523,2025-12-10 16:42:14+00,Faye,OP4,,100756NW,756NW15249,,,
11515,2025-12-10 16:11:40+00,Faye,OP4,,100756NW,756NW15248,,,
11500,2025-12-10 15:31:37+00,Faye,OP4,,100756NW,756NW15247,,,
11491,2025-12-10 14:58:16+00,Faye,OP4,,100756NW,756NW15246,,,
11483,2025-12-10 14:24:45+00,Faye,OP4,,100756NW,756NW15245,,,
11465,2025-12-10 13:53:01+00,Faye,OP4,,100756NW,756NW15244,,,
11464,2025-12-10 13:51:14+00,Faye,OP4,,100756NW,756NW15243,,,
11439,2025-12-10 12:30:25+00,Faye,OP4,,100756NW,756NW15242,,,
11433,2025-12-10 12:01:47+00,Faye,OP4,,100756NW,756NW15241,,,
11430,2025-12-09 21:44:31+00,Faye,OP4,,100756NW,756NW15240,,,
11420,2025-12-09 21:09:27+00,Faye,OP4,,100756NW,756NW15239,,,
11409,2025-12-09 20:23:23+00,Faye,OP4,,100756NW,756NW15238,,,
11394,2025-12-09 19:41:17+00,Faye,OP4,,100756NW,756NW15237,,,
11380,2025-12-09 19:08:32+00,Faye,OP4,,100756NW,756NW15236,,,
11369,2025-12-09 18:19:56+00,Faye,OP4,,100756NW,756NW15235,,,
10728,2025-12-03 17:26:35+00,Laura,MAIN,,100756NW,756NW152345,,,
10541,2025-12-02 17:57:50+00,Maria L,OP12,,100756NW,756NW15233,,,
10532,2025-12-02 17:31:41+00,Maria L,OP12,,100756NW,756NW15232,,,
10525,2025-12-02 16:39:36+00,Maria L,OP12,,100756NW,756NW15231,,,
10517,2025-12-02 16:15:17+00,Maria L,OP12,,100756NW,756NW15230,,,
10506,2025-12-02 15:44:05+00,Maria L,OP12,,100756NW,756NW15229,,,
10495,2025-12-02 15:19:17+00,Maria L,OP12,,100756NW,756NW15228,,,
10481,2025-12-02 14:49:28+00,Maria L,OP12,,100756NW,756NW15227,,,
10476,2025-12-02 14:27:52+00,Maria L,OP12,,100756NW,756NW15226,,,
10463,2025-12-02 13:58:23+00,Maria L,OP12,,100756NW,756NW15225,,,
10446,2025-12-02 13:12:13+00,Maria L,OP12,,100756NW,756NW15224,,,
10443,2025-12-02 13:06:43+00,Maria L,OP12,,100756NW,756NW15223,,,
10439,2025-12-02 13:06:22+00,Maria L,OP12,,100756NW,756NW15222,,,
10425,2025-12-02 11:48:44+00,Maria L,OP12,,100756NW,756NW15221,,,
10397,2025-12-01 20:39:33+00,Maria L,OP12,,100756NW,756NW15220,,,
10374,2025-12-01 20:11:37+00,Maria L,OP12,,100756NW,756NW15219,,,
10367,2025-12-01 19:37:18+00,Maria L,OP12,,100756NW,756NW15218,,,
10360,2025-12-01 19:09:58+00,Maria L,OP12,,100756NW,756NW15217,,,
10353,2025-12-01 18:26:43+00,Maria L,OP12,,100756NW,756NW15216,,,
10343,2025-12-01 17:59:25+00,Maria L,OP12,,100756NW,756NW15215,,,
10326,2025-12-01 17:35:59+00,Maria L,OP12,,100756NW,756NW15214,,,
10317,2025-12-01 16:35:18+00,Maria L,OP12,,100756NW,756NW15213,,,
10310,2025-12-01 16:09:08+00,Maria L,OP12,,100756NW,756NW15212,,,
10304,2025-12-01 15:40:20+00,Maria L,OP12,,100756NW,756NW15211,,,
